n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,arrival_rate,load_factor,strategy
247,0,19.488568691015544,2.6872840917708345,240.96576666374494,0.2436156612681128,53,0.6210670540758622,3,2.3,0.8005269837454688,SRPT
254,0,25.093844804948933,9.221704817619639,304.8848821782931,0.2645868886730828,71,0.6581216995829795,4,2.3,0.8005269837454688,SRPT
257,0,23.96882854044571,6.49140190227763,331.57409456403366,0.26323456483391205,73,0.6822611119406572,5,2.3,0.8005269837454688,SRPT
242,0,15.57223306565164,3.700757691200579,158.82824571171204,0.3008515669010514,52,0.6710555710308765,6,2.3,0.8005269837454688,SRPT
207,0,14.466910297560108,0.0,102.27405218951935,0.2737250540303729,43,0.5754483675619996,7,2.3,0.8005269837454688,SRPT
248,1,15.496902911123854,0.0,131.11461351110347,0.28810435243930405,54,0.6424521685318052,8,2.3,0.8005269837454688,SRPT
264,0,17.03177684298271,4.5842118050475165,175.3031446898549,0.2850203009786087,52,0.6686387039921455,9,2.3,0.8005269837454688,SRPT
248,1,25.76361589833826,11.373377821480972,233.62260343054731,0.3284629036513832,76,0.6587990465147927,10,2.3,0.8005269837454688,SRPT
247,0,15.65182208415529,3.3606703679042766,119.492583605037,0.32167569906224897,52,0.6353403108352748,11,2.3,0.8005269837454688,SRPT
241,0,28.230169963176955,7.426513794839593,392.25528623087393,0.20169955214013063,68,0.6732810442530224,12,2.3,0.8005269837454688,SRPT
244,4,17.49634757467923,3.6834181167830593,125.99971630053278,0.3279194565629397,56,0.6402165211353228,13,2.3,0.8005269837454688,SRPT
231,3,24.908772179624563,7.210820754171891,269.6222900024886,0.2581656241083961,63,0.6189392950340591,14,2.3,0.8005269837454688,SRPT
258,0,22.14485231132214,11.915640786038239,109.31605734020195,0.4111894954405885,81,0.6955490659152701,0,2.3,0.8005269837454688,SOC-Aware+Aging
238,5,37.09446926078195,11.48033824978188,200.460371527588,0.36923924958017534,93,0.6749253208075631,1,2.3,0.8005269837454688,SOC-Aware+Aging
264,0,20.849493547636772,9.959537083569103,105.67777793663527,0.3815340149665106,72,0.7487524089032698,2,2.3,0.8005269837454688,SOC-Aware+Aging
247,0,27.15824452005915,8.297149537726,198.84228646255042,0.32246038380206365,72,0.6541800841314288,3,2.3,0.8005269837454688,SOC-Aware+Aging
247,7,41.02094035803357,12.732669256027066,271.55844790269657,0.29310064663124274,91,0.6783970709036282,4,2.3,0.8005269837454688,SOC-Aware+Aging
257,0,43.888559084835926,18.075686420733746,233.23449919576797,0.370191317275356,106,0.7526731579507914,5,2.3,0.8005269837454688,SOC-Aware+Aging
242,0,26.802989979475218,9.117339627306933,185.00769986590058,0.32909741976145873,78,0.7098084403027345,6,2.3,0.8005269837454688,SOC-Aware+Aging
207,0,15.752273173239889,0.0,98.01927552520874,0.31263245632996345,45,0.5932584774225672,7,2.3,0.8005269837454688,SOC-Aware+Aging
248,1,21.287779541027884,4.59547712317044,126.80151447841786,0.34245413509909634,70,0.6664986147528179,8,2.3,0.8005269837454688,SOC-Aware+Aging
264,0,32.1525709591535,19.260246385371374,129.4893462145228,0.45419574077949987,107,0.7512676287147892,9,2.3,0.8005269837454688,SOC-Aware+Aging
248,1,33.42871222534555,14.36242938258033,196.81078066081318,0.3728239435634449,95,0.698079727167877,10,2.3,0.8005269837454688,SOC-Aware+Aging
247,0,16.906590713311175,3.370334871635805,93.48120586133268,0.35785865281023704,60,0.6816511505878018,11,2.3,0.8005269837454688,SOC-Aware+Aging
241,0,34.015271643538554,13.541818259548563,199.07403575265698,0.3380443693831694,84,0.7243437981160412,12,2.3,0.8005269837454688,SOC-Aware+Aging
245,3,20.599395851675485,7.763975657390802,123.71842431848836,0.3632224717595218,68,0.6840988102349385,13,2.3,0.8005269837454688,SOC-Aware+Aging
231,3,40.204587073516656,12.868801082334812,290.0201936749345,0.29646752581309677,86,0.6865809917591648,14,2.3,0.8005269837454688,SOC-Aware+Aging
293,5,78.38974160515103,63.2037816505574,267.1287520125534,0.5301126429654103,192,0.8754695537097261,0,2.6,0.904943546842704,FCFS
269,14,100.69384940776919,65.46862795027664,313.1189478766373,0.5087796259684639,178,0.8419715737358553,1,2.6,0.904943546842704,FCFS
